"","Encore Action HD"
"IND","WHKY HDTV"
"","MLB Net"
"UNI","WUVG Univision 34"
"","TeenNick OD"
"","Antenna 3 TV Hd"
"","Discovery Familia (US)"
"","ESPN CLassic"
"CBS","WCCO HDTV"
"","HIP-HOP and R&B"
"","HISTORY CHANNEL INTL"
"","SHOWTIME2 HD-W"
"","ESTUDIO 5"
"","Verona Schools"
"NBC","KBJR HDTV"
"","FX (West)"
"MeTV","KKCO MeTV"
"","KVEA-HDENCP"
"","HBO ZONE HD WEST-DI"
"","SDV THRILLER MAX W"
"","MC6"
"UNIMAS","KFSF UniM�s 66"
"ION","KWPX HDTV"
"","MLB NET-SD"
"","HD-Sundance"
"","ESPN GG BB HD"
"","TV Asia-SD"
"IND","KNVN AccuWeather TV"
"","Bloomberg TV"
"","Outer Max HDTV"
"","FX Movie Channel HDTV"
"","Music Choice Soft Rock"
"NBC","WEYI HDTV"
"","WNEU"
"IND","WKNX HDTV"
"","The Word Network"
"","Fox Sports-HD"
"FOX","WHNS"
"GRIT","KRCG Grit"
"","KTVT"
"","MC SMOOTH JAZZ"
"CBS","WTVF"
"WALK","WBIH"
"CW","KWGN"
"","Syfy (West)"
"CBS","KTVL HDTV"
"","LMN HDTV (West)"
"","KVEA-DIENCP"
"","HSN HD-DI"
"","DISXD - Glen-Mal-Crts"
"","SDV VH1S"
"","STARZ KIDS & FAMILY"
"","MC7"
"","TV CHILE"
"","HD - KXTV ABC TUR"
"","Nicktoons Network (East)"
"","Home & Garden Television HDTV (East)"
"","History HDTV (East)"
"","BabyFirst TV"
"Movie","WJBK Movies!"
"","Trinity Broadcasting Network HDTV"
"","Mexicanal"
"","GMA News TV"
"","NO_CALL_SIGN"
"","CSPAN3 "
"","Estrella TV"
"","Anime Network"
"","Show Beyond"
"","College Sports TV"
"PBS","PBA 30, PBS"
"ABC","WBKB ABC HDTV"
"FOX","WFLD"
"LiveWell","WLS Live Well HDTV"
"FOX","KXLT HDTV"
"","TURNER BROADCASTING SYSTEM"
"","INSPIRATIONAL NET"
"","TARRANT COMMUNITY COLLEGE"
"","TOON DISNEY"
"","SHOWTIME SC HD-W"
"","MDU-WUOA-HD"
"CW","KATC CW+"
"CBS","KOLN"
"Create,PBS","WDSE Create"
"CBS","KOLN HDTV"
"ABC","KLKN HDTV"
"MeTV","MeTV Western Oregon"
"","Food Network HDTV (West)"
"","SDV-TV 5 Monde Info"
"","Property Insertion Channel 1"
"","SDV-GMA PINOY TV"
"","MAVTV HD-DI"
"","MC8"
"","SDV HALLMARK CH HD"
"ABC","KDKF HDTV"
"","Inspiration TV"
"","HD-VH-1 WEST"
"","HD-Fox Deportes"
"","Health and Wellness"
"","Music Choice Throwback Jamz"
"","Music Choice Reggae"
"","LIFETIME MOVIE"
"","FOX BUSINESS HD"
"","Retro Plex HD"
"","Starz Cinema"
"","Mexico 22"
"","FRONT A/V Input"
"","WETP HD PBS"
"ABC","WATE HDTV"
"","Sportman Channel"
"","OuterMAX HD (East)"
"","TOKU formerly FUNi"
"ABC","WLOS"
"","A&E-HD"
"Bounce","KSDK Bounce TV"
"TCTHD","WTCT"
"PBS","KSMQ Create"
"","public access"
"NBC","KYTV"
"","KPXD"
"","Reelz Channel HD"
"","HBO SIGNATURE EAST (DIGITAL)"
"TELMUN","KXTX HDTV Telemundo 39"
"NBC","WVTM"
"ION","WPXH HDTV"
"","MDU-WAFF"
"CBS","WREG HDTV"
"","WTNZ HD"
"","Capital City Connection"
"FOX","KEYC HDTV"
"","Public Access"
"FOX","KXRM"
"ABC","KSVI HDTV"
"NBC","KPVI"
"NBC","KKCO HDTV"
"","LBLIB-DIENCP"
"","Property Insertion Channel 2"
"","MC9"
"","FM-KBIG"
"NBC","KNDU HDTV"
"","HD-TIME WARN SPNT"
"","HDNet Movies"
"","ViendoMovies"
"","WFXT FOX"
"","Encore Classic"
"","WE tv"
"","HTV Musica"
"","ThrillerMAX HD (East)"
"","VOD_BEACON_BARKER"
"","DISXD HD"
"","SHOW-HD"
"","Super Canal "
"","CBS SPORTS NET HD"
"","NBC Sports HD"
"","HV INFORMATION"
"","NFL Network HD"
"ABC","WAAY"
"","Showtime Family (East)"
"Bounce","WCIU Bounce TV"
"","HIGH DEFINITION NBC - KXAS"
"","KSTR Telefutra HD"
"THIS","WUOA This TV"
"FOX","WCOV HDTV"
"","Women's Entertainment Network (West)"
"","BLOOMBER HD-DI"
"","SDV LMN HD"
"","SDV TV CHILE"
"","Once Mexico"
"PBS","KIXE Create"
"","Cable Satellite Public Affairs Network HDTV"
"","Galavision (East)"
"","Sorpresa"
"","truTV HD"
"","Movie Plex HD"
"","PBS Kids Sprout"
"","WKNX The Knox"
"","First Baptist Church of Sevierville, TN"
"","SUNDANCE HD"
"","UNIMAS HD"
"","MC-Tape Mix"
"","Amercian Movie Classics"
"","WLIW"
"","WTIC HD"
"","Charter Regional Sports HDTV"
"","HOME SHOPPING HD"
"","THE MOVIE CHAN EAST (DIGITAL)"
"","MC HIT LIST"
"","TV Games Network 2"
"MNT","WUXP"
"MNT","My Acadiana TV"
"DECAD","WXOW Decades"
"TBN","KPJRDT"
"PBS","SOPTV-PBS"
"","FOX MOVIE-DI"
"","SDV HBO ZONE WEST"
"","SDV-ESPNU HD"
"","SDV-FAMILYNET HD"
"","CSPAN2 HD-DI"
"","Music Portal on Demand"
"UNIMAS","KFSF UniMás 66"
"MNT","KEMY"
"NBC","KHQ HDTV"
"","KCAL"
"","KBSV ETV-SD"
"","Community Information"
"CW","KHSL CW+ HDTV"
"","My Government "
"GRIT","KHQA Comet"
"","Big Ten Network (Part Time Overflow #1)"
"","Eternal Word Television en Espa�ol (U.S.)"
"","DISNEY"
"","DISCOVERY HD"
"","DESTAM HD"
"","Mun2"
"","WPXK ION"
"","Animal Planet "
"","TeleF�rmula"
"NBC","WLTZ"
"","HALLMARK MOVIE HD"
"","CW"
"","Real Estate"
"","HBO Family E"
"","Mainstreet 190"
"CW","WFLI HDTV"
"","WBAY DT3-RETRO-GNBYWI"
"CBS","KOLR"
"CBS","KOLR HDTV"
"PBS","KERA"
"","WCBI-MY"
"Create,PBS","NET Create"
"CBS","WSAW"
"","Root Sports Rocky Mountain"
"","SPIKE-DI"
"","SDV HBOHD"
"","SDV STARZ CINEMA"
"","NHL ICE 9"
"","FBN-SD"
"","ESPNU HDTV"
"","Music Choice Blues"
"","TVLAND HD"
"","CBS Sports Ntwk"
"COZI","WNEM Cozi TV"
"IND","WMNN MI News 26 SDTV"
"","MAXLatino (East)"
"CW","WBXX HDTV"
"","CSPAN 2 HD"
"","Discovery En Espanol"
"","Howard TV"
"H&I","WRAL Heroes & Icons"
"","VOD_SRC_11361"
"","The Charter Channel"
"","Headline News"
"getTV","WUVG GetTV"
"","STARZ EDGE"
"","WETK"
"","MC-Sounds of the Seasons"
"","COZI TV"
"","WLUC Fox Up HDTV"
"IND","WGGS"
"CW","KPLR HDTV"
"","educ access"
"FOX,MNT","KRBK SDTV"
"","KDTNDT Daystar Television HDTV"
"Bounce","WMC Bounce TV"
"PBS","WDSE Explore"
"MNT","KSNB MYTV"
"CBS","KGWL HDTV"
"","Comcast SportsNet Bay Area"
"PBS","OPB Radio"
"","E-DI"
"","LEARNING CH HD"
"","OUTDOOR CHANNEL"
"","IFC West Coast Feed"
"","SDV-FORO TV SD"
"","EASY LISTENING"
"","SDV-CANAL 22 HD"
"","GAC HD-DI"
"IND","KNDO HDTV Sports and Weather Right Now"
"","HD-HMC"
"","HD-Galavision W"
"","Spike TV (East)"
"","Fox College Sports Central"
"","WLVI DT"
"","IFC HD"
"","TMCX"
"","Autos On Demand"
"","WE"
"","WGTV-PBS"
"","Univision Network HD"
"","CW HD"
"","Home Shoppin"
"","CPTV Sports"
"THIS","WSFX ThisTV"
"","Big Ten Network (24/7 Overflow #3)"
"","KSTP-DT - ABC"
"ABC","WLOX"
"","STARZ IN BLACK HD-E"
"","FOX SPORTS ATLANTIC"
"","@MAX HD"
"","ESPN 2"
"THIS","WUOA This TV HDTV"
"","INPPV7"
"","The Discovery Channel (West)"
"","SDV-NAT GEO MUNDO SD"
"","NAT GEO WILD HD-DI"
"","SDV TV CHILI"
"","The Movie Channel On Demand"
"","Style & Home Free On Demand"
"","Funimation On Demand"
"PBS","KEET HDTV"
"","City of Brookings"
"PBS","KCTS Create"
"","The Science Channel"
"","HD-TRUTV-AD"
"","VOD_SRC_11362"
"","SEC Network HDTV"
"","Home Shopping Network HDTV"
"","Music Choice Easy Listening"
"","HBO On Demand"
"","Music Choice Indie"
"","MMAX"
"","CBS SPORTS HD"
"","Smooth Jazz"
"","Cable New Network en Espanole (USA)"
"","SDV NBC Universo HD"
"","LMN HD"
"","PEG LOUDON"
"","TMC-HD"
"","SECN HD 2"
"","HOME SHOPPING"
"","Showtime SC W HD"
"","Starz Kids&Family HD"
"","NICK HD"
"","INDemand 7"
"","Fox Sports Midwest Plus (Missouri) HDTV"
"THIS","KPLR2 ThisTV"
"CW","WVTV HDTV"
"ABC","KSAX"
"PBS","Lakeland Plus Create"
"","St.Tammany Parish School Board"
"","ATRES HD"
"","ENCORE MYSTERY"
"","ShopNBC"
"","MC RAP"
"FOX","KPTM HDTV"
"ABC","KHGI"
"","COMEDY-DI"
"","SDV-STZ IN BLACK HD"
"","SHOPHQ-DIENCP"
"","SDV MTV2 WEST"
"","TMC HD EAST-DI"
"","SDV-SET ASIA SD"
"","CTITV-DIENCP CTYI-ZHONG-TIAN"
"COMET","KATU Comet TV"
"","VOD_SRC_11363"
"","Cartoon Network HDTV (East)"
"NBC","WNWO"
"","TV 5 Monde Info"
"","Zee TV"
"","ACTION MAX HD"
"","Encore"
"","Encore Classic HD"
"","D-WUFT-GETTV"
"MNT","WTVZ HDTV"
"","Univisi�n Deportes Network HDTV"
"","ANTENA 3 TV INTER"
"","ATRES SERIES HD"
"JN","KSDK Justice Network TV"
"FOX","KBSI HDTV"
"","Big Ten Network (Minnesota)"
"CBS","WAFB HDTV"
"","MOVIE MAX HD-E"
"","MDU-HEARTLAND"
"CW","WXOW CW+ HDTV"
"","Freeform (West)"
"NBC","KGWN NBC SDTV"
"","HBO 2 HD WEST-DI"
"","NAT GEO WILD-DI"
"","TRAVEL HD-DI"
"","ETTV NEWS"
"","FXX SD EAST"
"","DE PELICULIA CLAS"
"","SDV-LIFESTYLE NET"
"","COMMUNITY O D ST-RT"
"","Root Sports Northwest (Seattle)"
"PBS","KCTS HDTV"
"","KTXL ANT TV-SD"
"","VOD_SRC_11364"
"","Eternal Word Television Network"
"","Local Origination Programming"
"","USA HD"
"","Today's Country"
"","Discovery Channel"
"","Hip Hop Classics"
"","De Pelicula Classico "
"LiveWell","WTVD Live Well HDTV"
"ABC","WTVD HDTV"
"ABC","WGXA ABC HDTV"
"","VOD_SRC_11365"
"CBS","WBTV HDTV"
"","BBC"
"","INDHD"
"","WVIT NBC"
"","Thriller Max E HD"
"","Bloomberg HD"
"","Sports Overflow"
"FOX","WTVC 2 - FOX"
"","Jefferson Community"
"","Juneau Library"
"MNT","KDFI"
"","ULTRA CINE HD"
"","CANAL SUR"
"","STARZ CINEMA HD-E"
"DAYSTAR","KDTNDT Daystar Television HDTV"
"CBS","WIAT HDTV"
"getTV","WDKA GetTV"
"Movie","WBUW Movies!"
"","SDV-BIG TEN NETWORK"
"","FAMILYNET-DI"
"","MTV TR3S-DI"
"","Cinemax HD on Demand"
"","SHOW EXT HD EAST-DI"
"","SDV HSTSP"
"","SDV-ZEE BOLLYWOOD HD"
"","FM-KLOS"
"NBC","PPV - iNDemand 07"
"","Five Star Max"
"","Bloomberg in HDTV"
"","Ed Acc 2"
"","Ultra Fiesta HDTV"
"","Encore Suspense HD"
"","Bandamax (Mexico)"
"PBS","WNMU"
"","EPIX"
"","Fox Sports Southeast HDTV"
"PBS","GPB"
"","VOD_SRC_11366"
"","TV ONE HD"
"","MDU-HSN"
"","MC-Blues"
"","TV JAPAN HD"
"","MC-Smooth Jazz"
"","BABY FIRST ESPANOL"
"","WVIT"
"","Government Programming"
"ABC","WQOW"
"","U.W.L"
"","FOX MOVIE CHANNEL HD"
"","EWTN Espanol HD"
"","@ Max"
"","ATRES SERIES"
"","MC MUSIC URBANA"
"","TWC - Weather Channel HDTV (The)"
"PBS","MPTV HDTV"
"","Tullahoma Ch.6"
"","Barboo City Ch 1"
"ABC","WAOW HDTV"
"","The Disney Channel (West)"
"","Comedy Central (West)"
"","WGN-DIENCP"
"","VIEWER's CHOICE 1"
"","CTI TELEVISION"
"","SDV MLB HD NETWORK"
"","Outside Television 24x7 (South Lake Tahoe)"
"","USA Network (East)"
"","Cable Satellite Public Affairs Network 2"
"","Nick Jr. HDTV"
"","Movies"
"","Galavision HD"
"NBC","WWBT"
"CBS","WTVR"
"","VOD_SRC_11367"
"","PBS Create"
"ANTEN","WTMV Antenna TV HDTV"
"THIS","KAAL ThisTV"
"","GARAGE HD"
"","MICROSOFT NBC"
"","HBO FAMILY HD-E"
"","TRUE STORIES EAST (DIGITAL)"
"","THE MOVIE CHANNEL WEST"
"","MC R&B CLASSICS"
"","MC PARTY FAVORITES"
"","Integrated Search"
"","Barboo City Ch 2"
"ABC","KMGH"
"","NBC SportsNetwork-HD"
"","SDV JEWELRY TV"
"","SCIENCE CHANNEL-DI"
"UNIMAS","KDJT UniM�s 33"
"","UniM�s (Pacific)"
"","HD-DISNEY JR"
"","NFL Redzone HD"
"","HLN HDTV"
"","Cable Satellite Public Affairs Network 3"
"","Tr3s (East)"
"","Fusion"
"","E!"
"IND","Peachtree TV"
"","NHL HD "
"NBC","WLUC"
"MeTV","KMBC Me-TV"
"PBS","LPB1 HDTV"
"IND","WBRZ Weather and Traffic"
"","HBO SIGNATURE HD EAST"
"","De Pel?cula Cl?sico"
"","Disney XD HD"
"CW","WTTO"
"MNT","WABM HDTV"
"","Charter Mainstreet Jackson"
"","More WOW"
"","Barboo City Ch 3"
"","Red Cliff Tribal Channel"
"CBS","KKTV"
"","Bravo HDTV (West)"
"","Food Network (West)"
"","Starz In Black (West)"
"","THRILLMAX WEST HD-DI"
"","PAN ARMENIAN TV"
"","NBC Sports Network-DC"
"","SDV-FUSION"
"","Primetime Free On Demand"
"","VIEWER's CHOICE 3"
"","SDV MTV2 HD"
"","VH1 SOUL"
"","HTV-SD"
"","EPIXH"
"","VOD_SRC_11368"
"","ESPN News"
"","Free Previews"
"MNT","WVLT MyVLT SDTV"
"JN","WBIR Justice Network"
"FOX","WRAZ"
"","MOREMAX HD"
"","FOX LIFE"
"","MoviePlex"
"","WFSB ESCAPE "
"","The History Channel en Espanol"
"","SHO Series HD A-D"
"Bounce","WIS Grit"
"","Local News, Traffic, & Weather"
"","Nickelodeon (West)"
"","HIGH DEFINITION FOX - KDFW"
"","CNN ESPANOL"
"","NICKTOON HD"
"","EL SALVADOR HD"
"","Kewaunee School"
"","Cottage Grove City"
"","WOW"
"ION","WTPX HDTV"
"","HBO Signature (West)"
"NBC","KKCO"
"THIS","KCBY ThisTV"
"","TBS-DI"
"","HSN-DIENCP"
"","US Armenia TV"
"","TWC SPORTSNET LA-SD"
"","SDV HDPPV"
"","SDV FOX COLLEGE SPORTS PACIFIC"
"","Community Interest On Demand"
"","Discovery Fit & Health"
"","SDV TEST PLAYBOY"
"CW","KBCW HDTV"
"ABC","KVEW"
"","Fox Sports West"
"","HD-OuterMAX E"
"","HD-Daystar"
"","HD-Gol TV"
"","VOD_SRC_11369"
"","Infinito US"
"","Tennis Channel HDTV"
"","TCM HD"
"","CNBC HD"
"","STARZ"
"","Kidz Only"
"","SYSETM INIT CH"
"IND","Sky Team 10 Weather"
"","MTV Jams"
"","EWTN HD"
"","CFCF"
"","lo_95"
"IND","WXIA Weather"
"","TV Asian"
"","Indeamnd Channel 803"
"ANTEN","WXMI Antenna TV"
"ABC","WZZM HDTV"
"","Daystar HD"
"","@ CINEMAX EAST"
"PBS","KERA World"
"","BLOOMBERG INFO TV (DIGITAL)"
"PBS","WLJT Create"
"PBS","NET"
"MNT","KPTM MNT"
"MeTV","WKOW MeTV"
"PBS","KFME"
"CBS","KBZK HDTV"
"","HISTORY-DI"
"","3ABN-DI"
"","SDV GAME2 MLB2 & NHL2"
"","SDV SHOWTIME 2 WEST"
"","City View Gilroy - Ch. 17"
"GRIT","KEPR Grit TV"
"NBC","KRNV HDTV"
"PBS","KNPB Vme"
"PBS","KSPS"
"NBC","WEYI"
"","ESPNU"
"","Music Choice Rock Hits"
"","CATHOLIC TV"
"","NFL REDZONE"
"JN","WVEC The Justice Network"
"","Mid Atlantic Sports Network 2 HDTV"
"","MoviePlex HDTV"
"","CNN International"
"","NICKELODEON HD"
"","MDU-TBN"
"","MC-Mexicana"
"","NULL"
"","TV LAND"
"","Nick Jr HD"
"","KTF Mag Rack"
"","WWLP NBC HD"
"MeTV","WILM MeTv"
"CBS","KHQA"
"PBS","tpt 2 HDTV"
"","Palmmyra City Ch"
"","(316)NHL Network"
"","POP Rhythmic"
"","Sony Entertainment Television As"
"","THRILLER MAX EAST"
"","LIFETIME MOVIE NET (DIGITAL)"
"","Galavision"
"","WTZT"
"","WSFA"
"","KTVEG KTV Edu/Gov"
"","SDV VH1 SOUL"
"","SPROUT HD-DI"
"","TW SPORTSNET-DI"
"","SDV TLCHD DPI"
"TELMUN","KFFX Telemundo HDTV"
"","Outside Television (South Lake Tahoe)"
"","S.O. Community Access"
"ABC","KAEF"
"","Showtime Extreme West"
"","HD-OXYGEN"
"","Home & Garden Television (East)"
"MeTV","WDIV MeTV"
"","Showtime HDTV (East)"
"","Animal Planet (East)"
"","ESPN2 HDTV"
"","FOX SPORTS 2 HD"
"","Animal Planet HD"
"","DIY HD"
"","Sundance Channel HD"
"","MAX HD"
"","AD SON OF LIFE HD"
"IND","W35BB"
"","De Pel�cula Cl�sico"
"","MEXICANAL"
"","WCYB-DT-NBC"
"CBS","WIFR HDTV"
"getTV","WUCW GetTV"
"PBS","Lakeland Plus Kids"
"NBC","WGBA"
"","MAJOR LEAGUE BASEBALL"
"","HOME BOX OFFICE"
"","COLLEGE SPORTS TV"
"","MC DANCE/EDM"
"LiveWell","KLFY Live Well"
"","WCOV-DT2"
"FOX,MNT","KFBBDT2 SDTV"
"ABC","KJCT"
"","KDOC-HDENCP"
"","SDV NFL SD"
"","SDV WESTERN WEST"
"","VIEWER's CHOICE 7"
"","SDV Discovery Familia"
"","SDV-EPIX HD"
"","SDV-TV5Monde Info HD"
"","HD-@MAX E"
"","HD-American Heros"
"","HD-Ultra Docu"
"","SDV FOX LIFE"
"","TRAVEL CH"
"","Hallmark Channel"
"","TLC"
"","TMC XTRA HD"
"","Soft Rock"
"","Syfy"
"CW","WLAJ CW+"
"","VOD BEACON"
"","Fox Deportes en Español (U.S.)"
"","Centroamerica TV"
"LAFF","WTVD Laff TV"
"","MAXWEST HD"
"","Show Too"
"","BIG TEN NETWORK"
"CBS","WWMT"
"","Charter Main Street Escanaba"
"PBS","KMOS"
"CW","KTTC CW+ HDTV"
"","KTXD DT"
"ABC","WBBJ HDTV"
"","MDU-WZDX-HD"
"MeTV","WZAW MeTV"
"","Comcast SportsNet Northwest (Oregon) HDTV"
"","MSNBC-DI"
"","KDOC-DIENCP"
"","RETROPLEX HD-DI"
"","INDIPLEX"
"","SDV-Ant 3TV Intercnl"
"","SDV-SPORTSMAN"
"","FM-KOST"
"","KNTVHD"
"FOX","KRXI"
